Barcode,110,245,246,255,260,490,500,505,650,655,852
,Istituto geografico militare,Regione Liguria,Savona,"1:50,000",1990,,,Foglio 229-246,Roads - Italy - Maps,Road maps,"Map Div 21-1, no.1"
,American Automobile Assocation,Las Vegas vicinity travel map,,"1:570,240",2000,,,,Roads - Nevada - Las Vegas - Maps,Road maps,"Map Div 21-1, no.1"
,Mair Geographischer Verlag,"Austria 1:850,000",,"1:850,000",1978,BMC 2,"""1901787925""",,Roads - Austria - Maps,Road maps,"Map Div 21-1, no.1"
,TT Maps,Srinagar ,,"1:22,000",1989,Discover India,,,"Roads - Srinagar (Jammu and Kashmir, India) - Maps ",Road maps,"Map Div 21-1, no.1"
,Plan Guide Blay,Castres,,"1:7,500",1975,,,,Roads - Castres (France) - Maps,Road maps,"Map Div 21-1, no.1"
,Kummerly and Frey,DDR - Polen - Tschechoslowakei,German Democtratic Repuglic - Poland - Czechoslovakia,"1:1,000,000",1986,,,,,Road maps,"Map Div 21-1, no.1"
,Arrow Map,Worcester,,"1:19,000",1943,,,,Roads - Worcester (Mass.) - Maps,Road maps,"Map Div 21-1, no.1"
,Cape Cod Chamber of Commerce,Welcome to Cape Cod road map and directory,,N.S.,1927,,"""Tercentenary Year""",,Roads - Massachusetts - Cape Cod - Maps,Road maps,"Map Div 21-1, no.1"
,H.A. Manning Co.,Concord - Franklin - Tilton map with street guide,"Including Northfield, Penacook, Suncook, Bow","1:63,360",1968,,,,"Roads - Concord (N.H.) - Maps;Roads - Franklin (N.H.) - Maps;Roads - Tilton (N.H. : Town) - Maps",Road maps,"Map Div 21-1, no.1"
,Lucas Maps,Indexed map of Boston (Brookline) Massachusetts,,"1:18,000",1938,,,,Roads - Boston (Mass.) - Maps,Road maps,"Map Div 21-1, no.1"
,Arrow,Boston smartmap,,N.S.,1995,10450,,,Roads - Boston (Mass.) - Maps,Road maps,"Map Div 21-1, no.1"
,Arrow,Westfield,,"1:19,000",1939,,,,Roads - Westfield (Mass.) - Maps,Road maps,"Map Div 21-1, no.1"
